Time	Mat1	Mat2	Mat3	Mat4
0.00	1.00	1.00	1.00	1.00
0.05	1.00	1.00	0.80	1.20
0.06	1.00	1.00	0.80	1.00
0.07	1.00	1.00	0.80	1.20
0.20	1.00	1.00	1.00	1.00
0.30	1.00	1.00	1.20	1.30
0.31	1.00	1.00	1.00	1.30
0.33	1.00	1.00	0.90	1.00
0.34	1.00	1.00	1.00	1.00
0.35	1.00	1.00	0.70	1.00
0.37	1.00	1.00	1.00	1.00
0.42	1.00	1.00	0.80	1.35
0.45	1.00	1.00	1.00	1.35
0.50	1.00	1.00	1.20	1.35
0.55	1.00	1.00	1.00	1.00
0.60	1.00	1.00	1.10	1.00
0.62	1.00	1.00	1.00	1.00
0.64	1.00	1.00	1.10	1.00
0.65	1.00	1.00	1.00	0.80
0.66	1.00	1.00	1.20	0.80
0.67	1.00	1.00	1.00	0.80
0.73	1.00	1.00	1.10	0.60
0.80	1.00	1.00	1.00	1.00
0.89	1.00	1.00	1.20	1.00
0.95	1.00	1.00	1.00	1.00
1.00	1.00	1.00	1.00	1.00
